LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
LMPR0103750003	(-)-5-Silphiperfolene	204.187800
LMPR0106050003	Applanoic acid E	526.256670
CA00781	Renieratene	528.784 g/mol
CA00875	Vitixanthin	534.666 g/mol
CA01106	4-oxo-β-Ionone	206.274 g/mol
LMPR01040121	steviol-19-O-beta-D-glucoside	480.272320
LMPR0102090059	(4S,7R)-4-isopropenyl-7-methyloxepan-2-one	168.115030
LMPR0104030033	Haterumaimide M	381.170687
LMPR04000026	30,32-dihydroxy-2b-methyl-bishomohopane	486.443680
CA01082	Crocusatin H	228.28 g/mol
LMPR02010045	NA	546.407295
LMPR0102120019	(-)-alpha-Thujone	152.120115
CA01092	(2S,2'S)-Oscillol	600.848 g/mol
LMPR0106150016	11-Deoxoglycyrrhetinic acid	456.360345
LMPR0102120004	(-)-Borneol	154.135765
LMPR01040131	Dulcoside A	788.383055
CA01099	4-Hydroxymyxol-2'-fucoside	746.988 g/mol
LMPR02020072	gamma,delta-Bi-O-garcinoic acid	864.554020
CA00491	Astacene	592.784 g/mol
LMPR0106250001	Pfaffic acid	440.329045
CA01153	Strigyl acetate	388.402 g/mol
LMPR01070911	3,4,3'-Trihydroxy-alpha-carotene	584.422945
CA00277	4-Ketomyxoxanthophyll	744.972 g/mol
LMPR0106040014	11-epifusidic acid	516.345090
CA00099	3,4,3',4'-Tetrahydrospirilloxanthin	600.932 g/mol
LMPR02020080	alpha-carboxyethylhydroxychroman	278.151810
LMPR0104240008	Clavurol C	288.245315
LMPR0103060009	(E,S)-alpha-bisabolene	204.187800
LMPR0106030004	Botryococcene	466.453850
LMPR0104010032	26:2(5Z,9Z)(13Me,17Me,21Me,25Me)	448.428030
LMPR01070255	cis-Phytoene	544.500800
LMPR01070173	1'-Hydroxy-4-keto-gamma-carotene glucoside	730.480855
LMPR0103360001	Mutisianthol	216.151415
CA01026	Tobiraxanthin A2	1025.492 g/mol
LMPR01070347	Fucoxanthinol 3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoate) 3'-palmitate	1138.856455
CA00687	Tunaxanthin D	568.848 g/mol
CA00668	6'-Hydroxysiphonaxanthin dodecenoate	797.128 g/mol
CA01222	Dehydroflexixanthin	580.816 g/mol
LMPR0106230002	(-)-14-Serratene	410.391250
CA00486	2-Hydroxycanthaxanthin	580.816 g/mol
LMPR02030036	II-dihydro-omega-(2,6,6-trimethylcyclohex-2-enylmethyl)-menaquinone-6	718.568880
LMPR0103540007	Austrobuxusin G	562.314185
LMPR01070605	alpha-Citraurin	432.302830
LMPR0104530001	(+)-Tormesol	290.260965
CA00622	Lutein dimethyl ether	596.9 g/mol
LMPR0102120007	alpha-Pinene-oxide	152.120115
LMPR0106180025	3-O-acetyl-beta-boswellic acid	498.370910
LMPR0104240015	Clavirolide I	316.203845
CA01161	Methyl carlactonoate	346.408 g/mol
LMPR0104010018	(Z,Z,Z)-geranylgeraniol	290.260965
LMPR0106150042	Cincholic acid 3beta-O-beta-D-fucopyranosyl-28-O-beta-D-glucopyranosyl ester	794.445260
LMPR0104100003	(-)-Spruceanol	300.208930
LMPR0106050018	Ganoderic acid T	554.360740
CA00807	Retinal	284.424 g/mol
LMPR0103190008	5beta,10beta-sibirene	204.187800
CA00504	(3'S)-2,3'-Dihydroxycanthaxanthin	596.816 g/mol
CA00394	2,3,2'-Trihydroxy-β-carotene	584.848 g/mol
LMPR0104150001	(+)-Villanovane-13alpha,19-diol	322.250795
CA00512	Isofucoxanthinol	616.848 g/mol
CA01195	7-Apoastaxanthinal	182.212 g/mol
CA00141	1,2-Dihydroxyphytofluene	576.912 g/mol
CA00534	Erythroxanthin	598.832 g/mol
LMPR0103520001	(+)-alpha-Pinguisene	204.187800
CA00992	(9Z)-Zeaxanthin-3'-Rhamnoside	714.988 g/mol
LMPR0104230011	Gemmacolide C	600.197358
LMPR0104030012	13-acetyl-Pinnatol A	428.192606
LMPR0106050017	Ganoderic acid S	528.345090
CA00456	Vaucheriaxanthin 3-acetate 19'-octanoate	785.076 g/mol
LMPR0104010028	22:1(5Z)(9Me,13Me,17Me,21Me)	394.381080
CA00123	Hydroxydemethylspheroidene	572.88 g/mol
LMPR0106080021	20(R)-Protopanaxatriol	476.386560
LMPR0103090041	Neurolenin A	364.188590
CA00582	Semi-beta-carotenone	568.848 g/mol
LMPR0103460001	Valerenic acid	234.161980
CA01118	(3S,5R,6R,8S)-9-Apo-6,7-didehydro-5,6-dihydro-3,5-dihydroxy-beta-carotene	224.29 g/mol
LMPR0106010002	Squalene	410.391250
CA00021	Staphyloxanthin	819.134 g/mol
LMPR0104310004	(-)-Jolkinol B	464.256275
CA00922	3',4'-Epoxymonoanhydrobacterioruberin	739.092 g/mol
LMPR0106220003	(+)-16-Gammaceren-3beta-ol	426.386165
LMPR0102010019	(R)-lavandulol	154.135765
CA00993	(13Z)-Zeaxanthin-3'-Rhamnoside	714.988 g/mol
CA00162	Rhodopinal glucoside	730.988 g/mol
LMPR0103590007	Lentinellic acid	316.131075
LMPR01070320	Fucoxanthinol 3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoate)	928.658090
CA00343	3,4,4'-Trihydroxypirardixanthin	588.88 g/mol
LMPR01090007	11-cis-Dehydroretinal	282.198365
LMPR0102070026	Iridodial glucoside tetraacetate	498.210115
LMPR01070962	Semi-alpha-carotenone	568.428030
LMPR01070275	Lutein 5,6-epoxide	584.422945
LMPR0106150047	Officinoterpenoside C	680.413565
LMPR0102070016	Verbenalin	388.136950
LMPR0106220002	(+)-Gammacerane	412.406900
LMPR04000031	2R-methyl-hop-21-ene	424.406900
CA00925	Bacterioruberin diglucoside	1065.388 g/mol
LMPR01090042	11Z-6s-trans-fixed bicyclic retinal	282.198365
CA01002	Apo-14'-zeaxanthinal	326.46 g/mol
LMPR01070610	gamma,psi-carotene	536.438200
CA01009	Hydroxy-3,4-dehydro-apo-8'-lycopene	418.636 g/mol
LMPR0106150051	Arenaroside B	1178.572040
CA00832	β-Citraurin	432.62 g/mol
LMPR0103090002	Parthenolide	248.141245
LMPR0106140004	Betulinic acid	456.360345
LMPR04000014	bacteriohopane-32,33, 34-triol-35-carbamate	589.470624
CA00159	3,4-Didehydro-1,2-dihydrolycopen-20-al	550.832 g/mol
LMPR0104240014	Clavufuranolide C	286.229665
CA00118	Lycopanerols J	1833.124 g/mol
LMPR0106080013	Ginsenoside Rb1	1108.602945
CA01231	3-Methoxyleprotene	558.81 g/mol
CA01237	Ceratoxanthone	568.848 g/mol
LMPR0103800002	alpha-santalol	220.182715
LMPR02030038	II-dihydro-omega-(2,6,6-trimethylcyclohex-2-enylmethyl)2,3-epoxymenaquinone-6	734.563795
LMPR0106150002	Moronic acid	454.344695
CA00129	1-Hydroxy-1,2-dihydroneurosporene	556.88 g/mol
CA01033	(11Z)-Retinol	286.44 g/mol
CA00614	Tilefishxanthin I	568.848 g/mol
LMPR0102070039	6'-O-caffeoylioxide	550.132260
LMPR01070001	Beta-carotene	536.438200
CA00552	(13Z)-Astaxanthin	596.816 g/mol
CA00854	Apoastacenal	444.588 g/mol
CA00273	2'-Hydroxyflexixanthin dimethyl ether	626.884 g/mol
LMPR01040119	Stevioside	804.377970
CA00228	Myxol	584.848 g/mol
LMPR0104300002	(-)-Euphomine A	514.293055
CA00217	1'-Hydroxytorulene	552.848 g/mol
LMPR0106080012	Ginsenoside Rg2	784.497295
CA00933	C.p.450 glucoside	867.216 g/mol
CA00648	Preprasinoxanthin	600.848 g/mol
CA01078	(3S,5R,6'S)-3-ethanoyloxy-5,6'-dihydroxy-5,67,8-tetradehydro-11',19'-olide-20-nor-beta,epsilon-caroten-3'-one	628.774 g/mol
CA00568	Bisdehydro-β-carotene-2-carboxylic acid	576.826 g/mol
CA00607	4-Hydroxylutein	584.848 g/mol
LMPR0106150003	oleanolic acid 3-O-beta-D-glucosiduronic acid	632.392435
CA00539	Fucoxanthin pyropheophorbide A ester	1175.51 g/mol
CA00508	Halocynthiaxanthin	598.832 g/mol
CA00605	Gobiusxanthin	582.832 g/mol
LMPR0103780002	14-Hydroxy-modhephene	220.182715
LMPR0103070001	(-)-Sesquicarene	204.187800
LMPR0102070050	Tarenninoside G	554.127175
LMPR0103060001	(-)-alpha-Bisabolol	222.198365
CA00715	Sioxanthin	726.956 g/mol
LMPR0103110002	(1E,6E)-gamma-humulene	204.187800
LMPR01080049	Decaprenoxanthin	718.568880
LMPR0103090034	NA	428.204635
LMPR0103500009	5-(3-hydroxybutan-2-yl)isolongifol-5-ene	276.245315
LMPR01070538	1'-Hydroxy-gamma-carotene glucoside	716.501590
CA00278	1'-Hydroxy-4-keto-γ-carotene glucoside hexadecanoate	969.388 g/mol
LMPR0103010001	2E,6E-farnesol	222.198365
CA00439	(8'R)-Neochrome	600.848 g/mol
LMPR0103280001	(-)-Kanshone A	236.177630
LMPR0106030002	Penta-unsaturated monocyclic botrycoccane	466.453850
LMPR0103010016	20:1(5Z)(11Me,15Me,19Me)	352.334130
LMPR0104140004	(+)-7beta-Hydroxy-15-beyeren-19-oic acid	318.219495
LMPR02020070	delta,delta-Bigarcinoic acid	850.538370
CA01176	Oxygenated theaspirane derivative	212.322 g/mol
LMPR0105010005	C25:4 Highly branched isoprenoid B	344.344300
CA01158	19-Hydroxy-carlactone	318.398 g/mol
LMPR0104130003	ent-kaur-16-en-19-ol	288.245315
CA00463	Tetradehydro-2,2,diketo-β-carotene	560.784 g/mol
CA00423	Gyroxanthin	656.868 g/mol
CA00521	Erythroxanthin sulphate	701.892 g/mol
CA00295	Crassostreaxanthin B	598.832 g/mol
LMPR0103370002	(+)-8-Drimen-7-one	220.182715
LMPR0104030011	(+)-subersic acid	410.282095
CA00674	Anhydrouriolide	596.816 g/mol
CA00518	Isofucoxanthin	658.884 g/mol
CA00791	Methyl apo-8'-lycopenoate	446.646 g/mol
LMPR0106150045	NA	812.455825
LMPR0106190002	(+)-22(29)-Hopen-6alpha-21beta-diol	442.381080
LMPR01070294	(3S,5R,6S)-5,6-epoxy-3-hydroxy-5,6-dihydro-12'-apo-beta-caroten-12'-al	382.250795
CA00274	2'-Hydroxyflexixanthin trimethyl ether	640.91 g/mol
CA01110	Tetrahydroionone	196.322 g/mol
LMPR0104170005	Gibberellin A8	364.152205
CA00586	5',8'-Epoxy-3'-hydroxy-3-methoxy-4,5-didehydro-5',8'-dihydro-4,6-cyclo-5,6-seco-beta,beta-caroten-5-one	612.858 g/mol
CA00947	Lutein 3-acetate	610.884 g/mol
LMPR0103700002	(-)-Prezizaanol	222.198365
LMPR0104330003	phorbol 13-acetate	406.199155
LMPR04000006	bacteriohopane-31,32,33,34,35-pentol	562.459725
LMPR0104290001	Casbene	272.250400
LMPR0104170008	Gibberellin A44 diacid	364.188590
LMPR0104140002	(+)-15-Beyeren-3-one	286.229665
CA00999	Agelaxanthin B	642.884 g/mol
LMPR0104030013	Isoconcinndiol 13-acetate	428.192606
LMPR0103320001	Macrophyllic acid A	234.161980
LMPR0106050005	Ganodermanontriol	472.355260
LMPR0102060023	(+)-cis-sabinol	152.120115
LMPR01070592	beta-Apo-2'-carotenol	510.386165
CA01229	(9Z,9'Z)-Tetrahydroastaxanthin	600.848 g/mol
CA00683	Tunaxanthin H	568.848 g/mol
LMFA06000168	2,3-dihydrofarnesal	222.198365
LMPR0104150004	(-)-16-Atisene	272.250400
LMPR0106240001	Myrrhanol A	460.391645
CA00182	3,4-Dihydrospheroidenone	584.89 g/mol
LMPR0103490002	8beta-Hydroxy-3-longipinen-5-one	234.161980
LMPR0103090009	germacradienol	222.198365
LMPR0102070036	Deutzioside	346.126385
LMPR0102070047	Tarenninoside D	580.142825
CA01238	Violaxanthin di-myristate	1021.544 g/mol
CA00148	Phytoene epoxide	560.912 g/mol
LMPR0104070002	Pedunculatic acid B	350.209325
CA00821	Sinensiaxanthin	410.574 g/mol
CA00862	Blumenol C	210.306 g/mol
CA00852	6-O-sec-Hydroxyaeginetoyl ajugol	614.668 g/mol
LMPR0106180005	(-)-Ilexol	426.386165
LMPR04000037	6alpha,16beta-diacetoxy-hopan-22-ol	544.412775
LMPR0103500004	5-(1-hydroxypropan-2-yl)isolongifol-4-ene	262.229665
CA01162	4-deoxyorobanchol	330.366 g/mol
LMPR0104170023	2,3-Didehydrogibberellin A9	314.151810
LMPR0103270002	ent-9-Aristen-8alpha-ol	220.182715
LMPR0103090033	Elephantopinolide P	376.152205
LMPR0106150021	9(11)-Dehydroglycyrrhetic acid	454.344695
LMPR0106040016	12-hydroxy-9,11-Anhydro Fusidic Acid	514.329440
LMPR0103090013	alatolide	350.172940
LMPR0103010033	Juvenile hormone III skipped bisepoxide	282.183110
LMPR03070025	Dolichoic acid-[18-20]	374.318480
LMPR0106150068	Escin IIb	1100.540345
LMPR0103380001	7alpha,11alpha-Dihydroxy-4(13),8-coloratadien-12,11-olide	264.136160
LMPR0103190013	alantolactone	232.146330
CA00047	Neurosporene	538.864 g/mol
LMPR0102090030	(4R,6R)-cis-Carveol	152.120115
LMPR0103060005	(E)-gamma-bisabolene	204.187800
LMPR01090033	14-methyl-20,14-retro-retinoic acid	314.224580
LMPR01090050	(3S)-all-trans-3-hydroxyretinal	300.208930
LMPR0104170033	gibberellin A3 O-beta-D-glucoside	508.194465
LMPR0103470002	3(15)-Africanene	204.187800
CA00553	(15Z)-Astaxanthin	596.816 g/mol
LMPR0103420002	amaralin	264.136160
CA00717	Okenone	578.842 g/mol
LMPR01070026	Monoanhydroescholtzxanthin	548.401815
LMPR0103540005	16-epi-pretoxin	380.147120
CA00596	Monadoxanthin	566.832 g/mol
CA00758	19-Hydroxymytiloxanthin	616.806 g/mol
LMPR0102010007	(R)-(+)-Citronellal	154.135765
LMPR0102120032	(1S)-bornane-2,5-dione	166.099380
LMPR0104300001	Pubescenol	584.262150
LMPR0102010021	(E)-beta-ocimene	136.125200
LMPR0104410002	Sinulobatin B	284.214015
CA00563	Astaxanthin diester	736.992 g/mol
LMPR0103590006	Armillanal C	472.246105
CA00533	2,3-Dihydroxyechinenone	582.832 g/mol
LMPR0105060002	(+)-Desoxyscalarin	388.297745
CA00433	Pittosporumxanthin A	1029.522 g/mol
CA01233	3,3'-Dimethoxyleprotene	588.836 g/mol
CA00728	Tedaniaxanthin	546.8 g/mol
CA00125	Rhodopinol glucoside	733.004 g/mol
CA00884	Mycorradicin	248.268 g/mol
CA00185	2'-Dihydrophilipsiaxanthin	598.832 g/mol
CA00450	Pittosporumxanthin A1	1029.522 g/mol
LMPR0103540018	Austrobuxusin C	394.162770
LMPR0103220001	Farfugin A	214.135765
LMPR0104210002	(-)-Enunicelline	354.240625
LMPR0102090051	1beta,3alpha,4alpha-p-menthane-3,8-diol	172.146330
LMPR01070596	ss-Apo-4'-carotenal	482.354865
LMPR0104030014	Concinndiol 13-acetate	428.192606
CA00657	3-Hydroxy-4-keto-α-carotene	566.832 g/mol
LMPR0102090056	piperitenone	150.104465
LMPR0104190006	Cembrene-C	272.250400
CA01147	3,4-Didehydro-acycloretinal	282.408 g/mol
LMPR04000029	2-methyl-hopane-17beta,21beta-homohopanol	456.433115
CA00720	gamma,gamma-Carotene	536.848 g/mol
CA00270	Deoxyflexixanthin	566.832 g/mol
CA00379	5-Hydroxyzeaxanthin	586.864 g/mol
LMPR0102060016	(-)-cis-(S)-allethrin	302.188195
CA00878	Xanthoxic acid	266.326 g/mol
CA00859	3-Hydroxy-β-apo-8'-carotnoic acid	448.62 g/mol
LMPR0103690005	epi-cedrol	222.198365
LMPR0102070020	8-Epideoxyloganin	374.157685
CA01184	2-hydroxy-2,6,6-trimethylcyclohexanone	156.218 g/mol
CA00797	Thiothece-425	396.548 g/mol
LMPR0104010007	Phytyl phosphate	376.274248
CA01083	Dinochrome A	668.92 g/mol
LMPR0106080003	Protopanaxadiol	460.391645
CA00451	Pittosporumxanthin A2	1029.522 g/mol
LMPR0103010018	20:2(5Z,9Z)(11Me,15Me,19Me)	350.318480
CA01126	Hydroxy-diaponeurosporenal	432.62 g/mol
LMPR0106080020	Panaxatriol	476.386560
CA00903	Crocin 2	814.812 g/mol
LMPR0103090042	Neurolenin D	380.183505
LMPR03030002	Undecaprenyl diphosphate-GlcNAc-ManNAcA	1346.769844
LMPR01070059	19'-Butanoyloxyfucoxanthin	744.460120
LMPR0102070014	Nepetalactone trans-cis-form	166.099380
CA00746	Capsanthin 3,6-epoxide	600.848 g/mol
CA00997	Lycopen-19-al	550.832 g/mol
CA00524	Astaxanthin glucoside	758.956 g/mol
CA00446	(8'R)-Lactochrome	618.864 g/mol
LMPR0106140005	Betulin	442.381080
LMPR0103640001	Botrydial	310.178025
CA00776	3-Ethanoyloxyisorenieratene	586.82 g/mol
CA00490	Pectenol B	582.832 g/mol
CA00619	Loroxanthin decenoate	737.076 g/mol
LMPR0104030005	tuberculosinol	290.260965
LMPR0103050013	1'-deoxyabscisic acid	248.141245
LMPR0104330013	Stelleracin C	610.314185
CA00985	(13Z)-Crocetin	976.952 g/mol
CA00441	(8'R)-Luteoxanthin	600.848 g/mol
LMPR0102060014	(+)-cis-(R)-allethrin	302.188195
LMPR0106230001	Japonicumin A	458.375995
LMPR01040136	Rebaudioside G	804.377970
CA00029	4,4'-Diaponeurosporen-4-oic acid ester	474.698 g/mol
CA01214	Lepidoxanthin	811.112 g/mol
LMPR01071052	Gemmatoxanthin	612.417860
CA01117	(6Z,9S)-9-Hydroxy-4,6-megastigmadien-3-one C-13 nor-terpenes	208.29 g/mol
LMPR0103540015	Austrobuxusin L	566.309100
LMPR0106010003	Presqualene diphosphate	586.318831
LMPR0106050004	Applanoic acid F	526.256670
CA01100	(3S,4S,2'S)-4-Hydroxymyxol	600.848 g/mol
LMPR0103590003	(+)-Armillarin	250.156895
LMPR01090043	(11Z)-8,18-ethanoretinal	310.229665
CA01067	Tectoionols B	212.322 g/mol
LMPR0103660001	(-)-4-Acoren-3-one	220.182715
CA00751	5,6-Diepicapsokarpoxanthin	618.864 g/mol
CA00939	Deshydroxydecaprenoxanthin	689.076 g/mol
LMPR0104110002	(-)-Spongiane-15,16-diol	322.250795
CA00055	1,2,1',2'-Tetrahydroneurosporene	542.896 g/mol
LMPR01070351	Fucoxanthinol 3-arachidonate 3'-palmitate	1140.872105
CA00098	3,4-Dihydrospirilloxanthin	598.916 g/mol
CA00649	Amarouciaxanthin A	614.832 g/mol
LMPR0106050021	Ganoderone C	470.339610
CA00705	(5'Z)-Chlorobactene	532.816 g/mol
LMPR04000028	Ribosylhopane	544.449160
LMPR01070277	Citroxanthin	552.433115
CA01094	(3S,4R,3'R,4'R)-Crustaxanthin	600.848 g/mol
LMPR0103010036	Crannenol C	278.188195
CA00813	Persicaxanthin	384.538 g/mol
CA00916	Bisanhydrobacterioruberin	705.076 g/mol
LMPR0103580001	Asterisc-3(15)-6-diene	204.187800
LMPR0106050013	NA	498.334525
CA00911	Nonaprenoxanthin	624.994 g/mol
LMPR02010046	2-Htcptmn	720.584530
LMPR01070354	Fucoxanthinol 3-(9E-hexadecenoate) 3'-palmitate	1090.856455
LMPR02020067	Plastochromenol-8	748.615830
LMPR01070298	8'-apo-beta-carotenol	418.323565
LMPR0104170027	Gibberellin A8-catabolite	362.136555
LMPR0103010005	Nerolidol	222.198365
LMPR01080071	Arthroxanthin	736.543060
LMPR02020073	LLU-alpha	264.136160
LMPR0103590001	(-)-Illudin M	248.141245
LMPR0104090002	Caesalpinin N	404.219890
CA00567	Mutatoxanthin pyropheophorbide A ester	1101.474 g/mol
LMPR01080055	Ficaprenol 11	766.699165
CA00641	4-Ketolutein D	582.832 g/mol
LMPR01070377	Mactraxanthin 3-linoleate 3'-palmitate	1136.898320
LMPR0102010009	Linalyl acetate	196.146330
LMPR0103050007	epi-dihydrophaseic acid	282.146725
CA01188	β-Homocyclocitral	166.254 g/mol
CA00294	8'-Hydroxy-7',8'-dihydroreticulaxanthin	490.698 g/mol
LMPR04000001	Diploptene	410.391250
CA00254	Torularhodinaldehyde	548.816 g/mol
CA00848	β-Apo-13-carotenone	258.388 g/mol
LMPR0103120002	Isocaryophyllene	204.187800
CA00665	6'-Hydroxysiphonaxanthin decenoate	769.076 g/mol
LMPR01070291	9'-cis-neoxanthin	600.417860
LMPR0106140011	NA	512.386560
LMPR02020088	S-Chinensen G	438.277010
CA00229	Myxobactin	712.972 g/mol
LMPR01070368	Mactraxanthin 3-oleate 3'-palmitate	1138.913970
LMPR0103010030	Canangalia D	356.183505
LMPR01040139	Rebaudioside O	1436.594355
LMPR01070309	Fucoxanthinol 3-oleate	880.658090
LMPR0102090048	(4R)-limonene 1alpha,2alpha-epoxide	152.120115
LMPR0106040006	Viridominic acid A	588.329835
LMPR0106140008	3-O-beta-tridecanoyllupan-3-ol	622.568880
CA00108	Lycopanerols C	815.44 g/mol
LMPR0104170034	gibberellin A17	378.167855
LMPR0104010033	24:3(5Z,9Z,17Z)(11Me,15Me,19Me,23Me)	418.381080
LMPR01090010	11-cis-3,4-didehydroretinol	284.214015
LMPR01070044	Eschscholtzxanthone	564.396730
CA00784	Didehydrotrikentriorhodin	578.8 g/mol
LMPR0104040014	NA	318.219495
LMPR0102070065	Lamiol	378.152600
LMPR0103010027	NA	410.005112
LMPR0104170011	Gibberellin A51-catabolite	330.146725
LMPR0102090004	(-)-Menthone	154.135765
LMPR01070286	Beta-isorenieratane	552.563400
LMPR01070340	Fucoxanthinol 3-gondoate 3'-palmitoleate	1130.887755
LMPR0104010012	pristanal	282.292265
CA00422	(9'Z)-Neoxanthin	600.848 g/mol
CA00964	Oscillol 2,2'-difucoside	893.128 g/mol
LMPR0106080011	Ginsenoside Rg1	800.492210
LMPR0104230003	(-)-Solenolide A	554.228263
CA00134	1,1'-Dihydroxy-ζ-carotene	576.912 g/mol
CA00879	9'-Hydroxy-9'-apo-epsilon,psi-caroten-3-one	418.594 g/mol
LMPR01070106	4-Ketonostoxanthin	614.397125
CA00015	4,4'-Diaponeurosporen-4-oic acid	432.62 g/mol
CA00761	Cryptocapsin-5,6-epoxide	584.848 g/mol
LMPR0104130010	Shikokianin B	508.230850
CA00755	Bastaxanthin C	731.876 g/mol
LMPR0104010013	2-trans,6-cis,10-trans-geranylgeranyl diphosphate	450.193631
LMPR0103230002	NA	300.108876
CA01060	Phaseic acid	280.31 g/mol
LMPR0103090040	Neurolenin B	422.194070
LMPR03090023	dolichyl diphosphate	520.271881
CA01107	β-Ionone-5,6-epoxide	208.29 g/mol
LMPR0102070028	10-Hydroxyloganin	406.147515
LMPR0103080001	beta-Elemenone	218.167065
LMPR04000013	bacteriohopane-32,33-diol-34,35-dicarbamate	632.476438
LMPR0104010037	Asprellic acid A	764.428820
LMPR0104150009	NA	336.230060
LMPR0104420001	Novaxenicin A	348.193675
CA01207	5,6-Epoxy-3-hydroxy-β-ionone	224.29 g/mol
CA01006	(13Z)-Bacterioruberin	741.108 g/mol
LMPR0103500017	(+)-longifolene	204.187800
LMPR01070336	Fucoxanthinol 3-oleate 3'-palmitoleate	1116.872105
LMPR01070308	Fucoxanthinol 3-myristoleate	824.595490
LMPR02020069	Garcinoic acid	426.277010
LMPR01040123	NA	804.377970
CA00324	Diatoxanthin	566.832 g/mol
CA00138	3,4,3',4',7',8'-Hexahydrospirilloxanthin	602.948 g/mol
LMPR0106030003	Monocyclic botryococcane	476.532100
LMPR0106010033	11-hydroperoxy-squalene	442.381080
LMPR01080065	Glisoprenin A	702.616225
CA00965	6-Epiheteroxanthin	600.848 g/mol
LMPR0103150001	iso-Debromo-laurinterol	216.151415
LMPR0103330003	beta-Cadinene	204.187800
LMPR0103850001	(-)-Isorotundene	204.187800
CA00856	Hopkinsiaxanthin	458.614 g/mol
LMPR01070315	Fucoxanthinol 3-arachidate	910.705040
CA00919	Monoanhydrobacterioruberin	723.092 g/mol
LMPR01070327	Fucoxanthinol 3-arachidonate 3'-(9E-hexadecenoate)	1138.856455
LMPR01090029	19-Hydroxy-13-cis-retinoic acid	316.203845
LMPR01040143	Novaxenicin D	364.188590
LMPR0102070001	Loganin	390.152600
CA00239	1',2'-Dihydro-1'-hydroxytorulene glucoside	714.988 g/mol
LMPR0104330007	Wikstrocin C	602.345485
LMPR0102070056	Genipin	226.084125
LMPR0102010015	Citronellyl acetate	198.161980
LMPR0104010011	2-hydroxyphytanic acid	328.297745
LMPR0104080012	ent-pimara-8(14)-15-dien-19-oic acid	302.224580
LMPR0102120022	Myrtenol	152.120115
LMPR0103540006	Austrobuxusin F	562.314185
LMPR01070384	Mactraxanthin 3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoate) 3'-palmitoleate	1142.851370
CA00435	Aurochrome	568.848 g/mol
CA01045	4-Oxoretinol	300.424 g/mol
LMPR0106040008	Viridominic acid C	590.345485
LMPR0103010011	2-trans,6-cis-farnesyl diphosphate	382.131031
LMPR0103010022	24:3(5Z,9Z,17Z)(15Me,19Me,23Me)	404.365430
CA01148	Apo-10'-lycopenal	376.558 g/mol
LMPR01090066	13,14-dihydroretinoic acid	302.224580
CA00130	1-Hydroxy-1,2,7',8',11',12'-hexahydrolycopene	558.896 g/mol
LMPR0106080009	Gypenoside S4	1062.561080
LMPR0102070058	Geniposide	388.136950
CA00311	(9Z)-β-Carotene	536.848 g/mol
LMPR0104130007	2-O-(6-O-isocaleryl-beta-D-glucopyranosyl) atractyligenin	566.309100
CA00370	3',4'-Didehydroisocryptoxanthin	550.832 g/mol
LMPR0104540001	Ginkgolide A	408.142035
LMPR01020138	Loganic acid	376.136950
CA00929	C.p.473	705.076 g/mol
LMPR0103430003	(-)-allo-Aromadendrene	204.187800
LMPR0106160003	(-)-Multiflorenol	426.386165
LMPR0106100002	3-Acetyl-1-tigloylazadirachtinin	720.262940
LMPR0102120013	(-)-beta-Pinene	136.125200
CA01120	4-Megastigmen-3,9-dione	244.322 g/mol
LMPR01090038	NA	282.198365
CA01116	(6R,7E)-4,7-megastigmadien-3,9-dione	242.306 g/mol
CA00049	1,2,1',2'-Tetrahydrolycopene	540.88 g/mol
CA01122	Apo-4'-lycopenal	482.718 g/mol
LMPR0102070012	Monotropein	390.116215
CA00710	1',2'-Dihydrochlorobactene	534.832 g/mol
LMPR0104030025	Haterumaimide G	381.170687
CA01136	8',10-apocarotenal	256.33 g/mol
LMPR0103010010	2-cis,6-trans-farnesyl diphosphate	382.131031
LMPR02020083	alpha-carboxyethylhydroxychroman sulfate	358.108627
LMPR0104400004	Kempene 1	302.224580
LMPR0106040012	11-ketofusidic acid	514.329440
LMPR0104050008	levopimaradienol	288.245315
CA00072	(13Z)-Lycopen-20-ol	552.848 g/mol
LMPR0103650003	vetispiradiene	204.187800
LMPR0102070037	dolichodial	166.099380
CA01097	3'-Hydroxy-ε-caroten-3-one	566.832 g/mol
LMPR01040133	Dulcoside B	788.383055
CA00847	β-Apo-10'-carotenoic acid	392.558 g/mol
LMPR0105050008	Ophiobolin T	382.250795
LMPR0103010008	(2-cis,6-cis)-farnesol	222.198365
LMPR0103120003	Leptotriene	202.172150
CA00255	4-Ketotorulene	548.816 g/mol
CA00164	Demethylspheroidenone	568.848 g/mol
LMPR0104330004	pedilstatin	512.277405
CA00808	β-Apo-14'-carotenal	310.46 g/mol
CA00414	Neoxanthin	600.848 g/mol
LMPR0102060021	sabinol	152.120115
LMPR0103270001	(+)-1(10)-Aristolene	204.187800
CA00670	Lutein 3'-pyropheophorbide A ester	1085.474 g/mol
LMPR0104190004	Kagimminol B	394.235540
CA00896	Crocin 5	490.532 g/mol
CA00920	3',4'-Dihydromonoanhydrobacterioruberin	725.108 g/mol
LMPR01030045	2alpha,6alpha-epoxyhimachalan-3beta-ol	238.193280
LMPR01010009	(2E)-4-hydroxy-3-methylbut-2-en-1-yl trihydrogen diphosphate	262.000746
